Категорія,URL товару,Відгук
Телефони,https://rozetka.com.ua/ua/samsung-sm-a366blvgeuc/p484698844/,"🔁 Слухайте а як думаєте, цього процесору вистачить на хоча би на 5 років стабільної роботи чи вже будуть лаги і чи значні"
Телефони,https://rozetka.com.ua/ua/samsung-sm-a366blvgeuc/p484698844/,"🔁 Михайло,смотря для чего,если играете то не хватит,а в обычном использовании хватит конечно"
Телефони,https://rozetka.com.ua/ua/samsung-sm-a366blvgeuc/p484698844/,🔁 К минусам также добавил бы отсутствие слота под карту памяти
Телефони,https://rozetka.com.ua/ua/samsung-sm-a366blvgeuc/p484698844/,🔁 А як екран на сонці себе веде? Чи гарно все видно?
Телефони,https://rozetka.com.ua/ua/samsung-sm-a366blvgeuc/p484698844/,"🔁 Подскажите, как вам камера?"
Телефони,https://rozetka.com.ua/ua/samsung-sm-a366blvgeuc/p484698844/,"🔁 Ви нічого не переплутали? Якщо третє фото це показники ""приладу"" стосовно М31, то де там взагалі цифра хоч близька до 4850?

І від яких таких невеликих навантажень він у вас грівся? Дайте конкретики. Бо в себе не помічав такого."
Телефони,https://rozetka.com.ua/ua/samsung-sm-a366blvgeuc/p484698844/,"🔁 Денис, можливо ви щось наплутали.
Ви тестер бачите у перше? На фото показано зарядження при 9в 1,6А. На наступному фото з тестером кінець заряду. Якщо для ваших потреб (фото, відео) смартфона достатньо, то для моїх потреб (роботою з різними програмами) ємності 2800 від заявленої 5000 недостатньо. І це не є нормальна ємність. Це або брак виробництва, або виробник запхав свідомо акум на 4000mAh.
Нарахунок того що гріється, можливо з оновленням це виправлять. Я написав порівняння з моїм попереднім смартфоном того самого виробника."
Телефони,https://rozetka.com.ua/ua/samsung-sm-a366blvgeuc/p484698844/,"🔁 Тарас, віддавайте у СЦ, якщо це брак, нехай повертають гроші. Це явно не нормально.
Щодо того, що телефон гріється, так усі блогери на ютюб розказують, що новинки не гріються взагалі під навантаженнями.

Може це типовий брак першої партії."
Телефони,https://rozetka.com.ua/ua/samsung-sm-a366blvgeuc/p484698844/,"🔁 Скажіть, будь ласка, скільки тримає батерея???"
Телефони,https://rozetka.com.ua/ua/samsung-sm-a366blvgeuc/p484698844/,"🔁 Це все дуже індивідуально та залежить від багатьох факторів: кількість встановлених додатків, 4G чи Wi-Fi, яскравість екрану, якими саме додатками користуєтесь та як довго, кількість дзвінків впродовж дня, чи користуєтесь режимом енергозбереження, чи увімкнена темна тема у телефоні і додатках тощо. Також треба брати до уваги режим заряджання батареї. Особисто я вмикаю зарядку при +/- 20% і автоматично вона вимикається при 80%. І на цей діапазон у +/- 60% телефон в мене тримається 1-3 доби. Загалом батареєю задоволений."
Телефони,https://rozetka.com.ua/ua/samsung-sm-a366blvgeuc/p484698844/,🔁 По для сравнения фото можно было бы взять гугл пиксель. вы бы видели его фотки
Телефони,https://rozetka.com.ua/ua/samsung-sm-a366blvgeuc/p484698844/,"🔁 опечатка в тексте, - Sony xperia 10 VI"
Телефони,https://rozetka.com.ua/ua/samsung-sm-a366blvgeuc/p484698844/,"🔁 Всё так, кроме одного и очень важного - ONE UI. В других телефонах, нет данной супер оболочки.
И в плюсы еще можно записать огромную поддержку производителя, абсолютную безглючность и предсказуемость аппарата.
Так что, в какой-то мере, всё таки Samsung того стоит."
Телефони,https://rozetka.com.ua/ua/samsung-sm-a366blvgeuc/p484698844/,"🔁 Те, що вміє самсунг - не вміють ваші із вашого списку. Ніякий сяомі, леді, соні, що там ще у вас .... Якщо я за дві секунди можу вийняти текст із фото чи скріну, то на ваших мені потрібно мінімум 10 хвилин. А щоб його ще ""доправити"" кули мені слід - ще стільки ж. Так що про ціну тут не говоріть. Напхати модна чим завгодно, а от як воно все працює в купі , як взаємодіє- ви про це мову не підняли.
Я все дуття мала самсунги. І піддавшись на умовляння родичів ""девшої ціни при тих самих параметрах "" - купила сяомі за 20 к. Я плакала тиждень, місяць намагалась звикнути до відсутності якихось функцій, до ""невміння"" смартфону швидко вирішити мої пртреби. І продала . Я була в стресів весь час. .так що ви тут не розказуйте про цінники."
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,"🔁 Ти жартуєш? З книжками вже років 5 ніхто не ходить). Не вздумай, мужик."
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,"🔁 Також подобається форм-фактор розкладного чохла (книжки), справа зручності.
В продажі є хороші варіанти. Є з чим порівняти, звичайний бампер - змінив до 10 шт скла за 7 років, чохол-книжка - 1 єдине скло за 6 років)"
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,"🔁 Лілія, ви що, судите про автономність S25 Ultra з використанням в Один день після покупки?!)) Це може ви 4к відоси знімали та на макс.яркості екрану користувалися, то да, батарея так уйде бистро. В мене він залізобетонно держить сутки (камера, ігруха Клеш, телега, вацап, звонки ну і так поклацать в інеті), 70на30 -- Wi-Fi та LTE, 6 часов екрана і 70...85% заряду акума уходить за сутки."
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,"🔁 Потому что мобильный интернет потребляет в 2 а то и 3 раза быстрее расход батареи нежели wifi, это же элементарно понятно"
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,"🔁 Плюс ещё мощный новый процессор так же потребляет довольно большого расхода батареи, по этому так"
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,"🔁 По більшості пунктів, це яких?
Камери - практично однакова якість фото/відео. В якихось ситуаціях краще один телефон в інших другий.
Заряд - тримають практично однаково. Ультра заряджається значно швидше.
Звук - по проводу, вт та з динаміків ультра краща. По вт просто на голову.
Швидкодія - все літає на обох, на ультрі приємніші анімації.
При навантаженні гріються однаково, не сильно.
Вібро - на айфоні трохи краще.
Екран - однаково круті, але на ультрі антиблік.
ШІ в розрахунок не беремо (тут все ясно), як і саму ОС (хто до чого звик, тут он люди є, які 10 років не можуть відбиток пальця зареєструвати).
Маємо що? Ультра або на рівні, або краще, коштує трохи дешевше."
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,🔁 Привіт. А який прямий конкурент цьому девайсу на Ваш погляд?
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,"🔁 Ви дуже не засмучуйтесь. Коли руки такі , що стільки часу потрібно , щоб додати відбиток пальця , то краще айфон, є"
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,🔁 Чим користувався те і зявилось
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,"🔁 Про відбиток пал ця це правда і якийсь треш.
У мене s24 із внеменням відбитів пальців все було Ок.
Пле після останньої обнови телефон почав погано розпізгавати відбитки.Я видалив старі відбитки і спробував внести нові.Але мій Самсунг вперто не хоче це робити.
Ось такі макарони"
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,"🔁 Так це проблема браузера, а не телефона.

Ну і Самсунг працює на росії, якщо що."
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,"🔁 Це вже ж давно так
Боротьби регуляторів з монополим становищем гугла"
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,"🔁 Потому что это браузер от Google, причем тут эти вопросы?"
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,🔁 Ультра маленький? xD
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,"🔁 Если вы не в курсе, Samsung Galaxy S25 Ultra считается одним из самых больших смартфонов бизнес-класса с диагональю экрана 6,9 дюйма. Среди стандартных (не складных) моделей найти что-то большее сложно."
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,🔁 Через деякий час система адаптується і батарея буде тримати довше
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,"🔁 ""оскільки поміняти товар куплений через інтернет не так і легко…""

Любий товар повертається прямо в магазин напротязі 14 днів, якщо Ви ще не знали цього."
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,"🔁 Поміняти товар куплений в інтернет магазині дуже легко. Прочитайте умови повернення /заміни, клікніть кнопку ""повернення"" і відправте товар із зручної Вам ТК чи точки видачі."
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,"🔁 Як на мене, флагамни треба змінювати як мінімум через роки 3-4. Інакше різниця дійсно не помітна буде. S23+ нормальний телефон. З ним ще 3 роки можна ходити і навіть через 5 років з дня релізу він все ще буде кращим, ніж будь-який середньобюджетний смратфон"
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,"🔁 Чувак, у мене перший Самсунг (С7 Едж) був з браком олеофобки - ну, нічого замінили тупо весь дисплей, буває, з 2016 року браки не попадали потім
На щастя сервіс у них є і хороший, а це важливіше за ""ідеальний телефон""(у всіх телефонів є брак, це - виробництво)"
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,"🔁 Підкажіть, а перекладач в реальному часі працює? Чи для українців ним теж нереально користуватися?"
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,"🔁 Там два перекладача. Один перекладає в реальному часу коли вам телефонують (там потрібно обрати мову якою ви будере розмовляти, і мову якою буде розмовляти співбесідник), а інший ділить екран навпіл, і кожний говорить по черзі (аля ви підійшли на вулиці до людини десь закордоном і питаєте щось). Але обидві ці функції використовують ті самі мовні пакети. Української в них немає. Є англійська, німецька, китайська, арабська, в'єтнамська, гінді, корейська, нідерландстька, польська, португальська, російська, румунська, тайська, турецька, французька, шведська, японська, іспанська, італійська. Якщо ви мали на увазі щось інше, уточніть."
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,🔁 Нескладуха! Які півтора місяці?
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,"🔁 Буква i из англ раскладки, да)?"
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,🔁 Яким телефоном користувались до цього?
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,"🔁 І як саме ""класно"" відпрацьовує штучний інтелект? Поділіться вашими реальними кейсами, будь ласка"
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,"🔁 Snapdragon і на S24 був вже, чи я помиляюся?"
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,"🔁 S24U на снепі був, звичайні на ексіносі.
І ще якась старіша лінійка була вся на снепі, чи то 22 чи 23, не пам'ятаю."
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,"🔁 В мене s23ultra на снепдрегоні, і чому це one ui недолік?"
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,🔁 Добрий день! Дякуємо за позитивну оцінку!
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,🔁 Добрий день! Дякуємо за відгук!
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,"🔁 Віталій, поділіться, будь ласка, в чому ""варто"" переходити з s23U на s25U? Які реальні відмінності, що ви саме відчули?"
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,🔁 За чією версією?
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,"🔁 Ну очевидно за версією задоволеного користувача. Пишу з даного телефона. Ходив з S22U,24U зараз 25U (змінюю бо є фінансова можливість ліквідність та амортизація, походив рік, в ідеалі продав взяв новий) Самсунг не топ в камерах, і це мене трохи бісить, але на рахунок всіх і інших параметрів та дизайну, самсунг топ, для мене конкуренти йому це пікселі і айфони, Китай тільки камери. На ці телефони шалений попит на вторицчі ..Як на мене телефон достойний, в чомусь ідеал, в чомусь могли б підтягнути. Аде якщо зважити всі за і проти , це найкращий варіант...."
Телефони,https://rozetka.com.ua/ua/samsung-sm-s931bdbgeuc/p473275554/,🔁 Добрий день! Дякуємо за Ваш відгук!
